,Path,Target
4118,../data/classification/Enron_spam/enron3/spam/4009.2005-04-17.BG.spam.txt,1.0
13965,../data/classification/Enron_spam/enron6/spam/2985.2005-01-24.BG.spam.txt,1.0
9045,../data/classification/Enron_spam/enron5/spam/3226.2005-07-03.SA_and_HP.spam.txt,1.0
9650,../data/classification/Enron_spam/enron5/spam/2239.2005-06-26.SA_and_HP.spam.txt,1.0
16426,../data/classification/Enron_spam/enron6/spam/3956.2005-03-17.BG.spam.txt,1.0
564,../data/classification/Enron_spam/enron1/spam/2662.2004-10-29.GP.spam.txt,1.0
1341,../data/classification/Enron_spam/enron1/spam/2498.2004-10-14.GP.spam.txt,1.0
15259,../data/classification/Enron_spam/enron6/ham/1430.2000-10-13.lokay.ham.txt,0.0
12089,../data/classification/Enron_spam/enron4/ham/3065.2001-12-15.williams.ham.txt,0.0
8286,../data/classification/Enron_spam/enron3/ham/3987.2001-11-14.kitchen.ham.txt,0.0
15395,../data/classification/Enron_spam/enron6/ham/3914.2001-07-12.lokay.ham.txt,0.0
5632,../data/classification/Enron_spam/enron2/ham/5240.2001-04-16.kaminski.ham.txt,0.0
3364,../data/classification/Enron_spam/enron3/spam/0804.2004-10-07.BG.spam.txt,1.0
15657,../data/classification/Enron_spam/enron6/ham/3012.2001-02-08.lokay.ham.txt,0.0
2356,../data/classification/Enron_spam/enron2/spam/0138.2002-05-06.SA_and_HP.spam.txt,1.0
7713,../data/classification/Enron_spam/enron2/ham/4604.2001-03-05.kaminski.ham.txt,0.0
11647,../data/classification/Enron_spam/enron3/ham/3848.2001-11-08.kitchen.ham.txt,0.0
9215,../data/classification/Enron_spam/enron5/spam/0116.2002-05-10.SA_and_HP.spam.txt,1.0
6795,../data/classification/Enron_spam/enron4/spam/3310.2004-11-28.GP.spam.txt,1.0
15340,../data/classification/Enron_spam/enron6/ham/3446.2001-04-19.lokay.ham.txt,0.0
13351,../data/classification/Enron_spam/enron4/ham/4346.2002-01-07.williams.ham.txt,0.0
7157,../data/classification/Enron_spam/enron2/ham/2906.2000-10-20.kaminski.ham.txt,0.0
7658,../data/classification/Enron_spam/enron2/ham/5590.2001-04-30.kaminski.ham.txt,0.0
6392,../data/classification/Enron_spam/enron2/ham/3590.2000-12-07.kaminski.ham.txt,0.0
1305,../data/classification/Enron_spam/enron1/ham/2567.2000-10-18.farmer.ham.txt,0.0
2564,../data/classification/Enron_spam/enron2/spam/4785.2005-07-16.SA_and_HP.spam.txt,1.0
1095,../data/classification/Enron_spam/enron1/spam/0626.2004-03-10.GP.spam.txt,1.0
446,../data/classification/Enron_spam/enron1/spam/0577.2004-02-27.GP.spam.txt,1.0
8941,../data/classification/Enron_spam/enron4/spam/1227.2004-05-18.GP.spam.txt,1.0
10247,../data/classification/Enron_spam/enron3/ham/0154.2001-03-12.kitchen.ham.txt,0.0
10455,../data/classification/Enron_spam/enron5/spam/0613.2002-07-21.SA_and_HP.spam.txt,1.0
15850,../data/classification/Enron_spam/enron6/spam/2242.2004-12-21.BG.spam.txt,1.0
13440,../data/classification/Enron_spam/enron4/ham/0867.2001-06-29.williams.ham.txt,0.0
15806,../data/classification/Enron_spam/enron6/ham/0698.2000-08-10.lokay.ham.txt,0.0
3713,../data/classification/Enron_spam/enron2/ham/3747.2000-12-18.kaminski.ham.txt,0.0
14513,../data/classification/Enron_spam/enron6/spam/5323.2005-06-18.BG.spam.txt,1.0
11786,../data/classification/Enron_spam/enron5/spam/1549.2005-06-21.SA_and_HP.spam.txt,1.0
12344,../data/classification/Enron_spam/enron4/ham/0767.2001-06-21.williams.ham.txt,0.0
8527,../data/classification/Enron_spam/enron4/spam/3235.2004-11-22.GP.spam.txt,1.0
4388,../data/classification/Enron_spam/enron2/ham/3935.2001-01-05.kaminski.ham.txt,0.0
5434,../data/classification/Enron_spam/enron4/spam/0695.2004-03-28.GP.spam.txt,1.0
7797,../data/classification/Enron_spam/enron2/ham/4750.2001-03-15.kaminski.ham.txt,0.0
7090,../data/classification/Enron_spam/enron2/ham/2752.2000-10-12.kaminski.ham.txt,0.0
11280,../data/classification/Enron_spam/enron5/spam/4369.2005-07-18.SA_and_HP.spam.txt,1.0
5756,../data/classification/Enron_spam/enron4/spam/0997.2004-04-29.GP.spam.txt,1.0
2416,../data/classification/Enron_spam/enron2/spam/0181.2002-05-14.SA_and_HP.spam.txt,1.0
